City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,sao joao da barra,BR,86.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
21,georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
54,beinamar,TD,96.06,overcast clouds,8.6698,15.3813,
59,mount isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
94,kolokani,ML,92.19,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
105,arraial do cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
109,mocuba,MZ,96.04,overcast clouds,-16.8392,36.9856,Phama Lodge
115,farim,GW,97.18,overcast clouds,12.4839,-15.2217,
125,umm kaddadah,SD,87.75,few clouds,13.6017,26.6876,
139,durban,ZA,91.92,few clouds,-29.8579,31.0292,Hilton Durban
145,port keats,AU,85.91,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
169,kontagora,NG,97.5,overcast clouds,10.3999,5.4695,Queens Guest Inn
236,tete,MZ,87.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
259,kotido,UG,86.18,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
261,lodja,CD,85.05,overcast clouds,-3.4833,23.4333,
263,angoche,MZ,86.23,overcast clouds,-16.2325,39.9086,Guest House HESADA
292,kigonsera,TZ,88.16,broken clouds,-10.8,35.05,
294,carutapera,BR,85.35,overcast clouds,-1.195,-46.02,Lidera
308,pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
312,richards bay,ZA,91.13,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
337,xuddur,SO,89.83,broken clouds,4.1213,43.8894,Banjanay Hotel
377,chiredzi,ZW,94.89,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
379,barentu,ER,87.62,overcast clouds,15.1139,37.5928,
382,owerri,NG,98.73,overcast clouds,5.4833,7.0304,Donamario
386,canchungo,GW,91.47,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
394,mirador,BR,86.05,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
402,raga,SS,94.89,overcast clouds,8.4596,25.678,
417,kununurra,AU,91.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
428,niamtougou,TG,91.24,clear sky,9.7681,1.1053,Sevebat
439,chokwe,MZ,94.59,broken clouds,-24.5333,32.9833,Complexo Sonho Real
449,velingara,SN,97.74,overcast clouds,13.15,-14.1167,Hotel Najla
462,touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
519,inhambane,MZ,85.82,broken clouds,-23.865,35.3833,Oceano
527,kalakamati,BW,95.72,clear sky,-20.5929,27.3121,
533,lambarene,GA,85.77,light rain,-0.7001,10.2406,Le Refuge
557,beloha,MG,97.52,scattered clouds,-25.1667,45.05,
569,kabalo,CD,86.45,light rain,-6.05,26.9167,
586,cuamba,MZ,96.44,overcast clouds,-14.8031,36.5372,Hotel Vision
589,ouesso,CG,92.59,overcast clouds,1.6136,16.0517,ABENIE Hotel
621,beira,MZ,87.57,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
622,goundam,ML,88.07,overcast clouds,16.4145,-3.6708,
638,ampanihy,MG,92.41,overcast clouds,-24.7,44.75,Angora Hotel
644,pala,TD,95.07,overcast clouds,9.3642,14.9046,Nectar Hôtel de Pala
651,olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
666,itarema,BR,88.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
680,morondava,MG,85.68,few clouds,-20.2833,44.2833,La Case Bambou
687,juruti,BR,86.02,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
